主办方,计数
中国作协《中国作家》杂志社、贵州茅台酒股份有限公司、贵州茅台酱香酒营销有限公司,1
中国作家出版集团,1
中国作家协会,1
中国作家协会《诗刊》社 等,2
中国作家协会全民阅读办公室 等,1
中国侨联、全国台联、人民日报海外版、《快乐作文》杂志,1
中国保险行业协会,1
中国信息协会,8
中国信息安全测评中心,1
中国信息安全职业技能竞赛(ISG)组委会,1
中国信息无障碍产业联盟 等,1
中国信息通信研究院,5
中国信息通信研究院 等,5
中国信息通信研究院、开放数据中心委员会,1
中国信通院 等,1
中国儿童中心 等,1
中国儿童文学研究会阅读与写作委员会 等,4
中国光学学会,1
中国光学学会、教育部高等学校光电信息科学与工程专业教学指导分委员会,1
中国光学工程学会 等,1
中国公益慈善项目交流展示会组委会,1
中国公益慈善项目交流展示会组委会办公室 等,1
中国公益慈善项目交流展示会组委会办公室、深圳市关爱行动组委会办公室,1
中国公路学会 等,3
中国关心下一代工作委员会健康体育发展中心,5
中国兵工学会 等,4
中国内衣模特大赛组委会,1
中国农业博物馆,1
中国农业博物馆 等,2
中国农业工程学会 等,2
中国农业机械学会 等,1
中国农业电影电视中心,1
中国农业电影电视协会（CCTV-7 农业频道） 等,1
中国农民丰收节组织指导委员会办公室、农民日报社,1
中国农民体育协会、中国旅游报社、中国农业出版社,1
中国农民体育协会联合中华全国体育总会群体部,1
中国出版协会 等,1
中国出版协会、中国新闻文化促进会、中国画报协会,1
中国出版协会装帧艺术工作委员会,1
中国出版集团 等,1
中国出版集团公司,1
中国创客协会、大数据发展部、教育部高等学校双创教学指导委员会、中国科技部创新专业联合会,2
中国创意同盟 等,1
中国创新创业大赛,1
中国创造学会,4
中国制冷空调工业协会,1
中国力学学会 等,2
中国力学学会、西安卫星测控中心宇航动力学国家重点实验室,1
中国包装联合会,6
中国包装联合会包装教育委员会 等,2
中国包装联合会设计专业委员会属下中南六省区包协设计委员会（广东省、广西区、湖南省、湖北省、海南省、河南省包协设计委员会）,1
中国化学学会 等,1
中国化学纤维工业协会 等,1
中国化工学会,5
中国化工学会 等,4
中国化工学会化学工程专业委员会,1
中国化工学会化学工程专业委员会主办,1
中国化工教育协会 等,2
中国区域科学协会城市管理专业委员会、全国城市管理专业教学指导委员会,1
中国华侨历史博物馆 等,1
中国华录集团 等,2
中国南方航空集团 等,1
中国南水北调集团新闻宣传中心 等,1
中国发明协会,1
中国可再生能源学会,2
中国台湾网 等,2
中国合作贸易企业协会,2
中国和平利用军工技术协会,5
中国唱片集团、团中央中国青年网、北京大学、迷笛音乐、QQ音乐,1
中国商业企业管理协会,1
中国商业会计学会,4
中国商业文化研究会,1
中国商业经济学会,3
中国商业经济学会教育培训分会,6
中国商业统计学会,2
中国商业统计学会 等,1
中国商业统计学会 ,1
中国商业联合会,21
中国商业联合会 等,2
中国围棋协会,1
中国国土经济学会,3
中国国土资源作家协会 等,1
中国国家地理,2
中国国际书画协会,1
中国国际公共关系协会,5
中国国际动漫游戏博览会组委会,1
中国国际动漫游戏博览会组委会 等,1
中国国际动漫节执委会办公室,2
中国国际友好联络会 等,1
中国国际商会,2
中国国际商会商业行业商会 丝绸之路国际合作工作委员会,3
中国国际商会商业行业商会丝绸之路国际合作工作委员会,6
中国国际大学生创新大赛,1
中国国际大数据产业博览会,1
中国国际大数据产业博览会组委会,2
中国国际数字经济博览会组委会,1
中国国际电子商务中心,1
中国国际科技促进会 青少年人工智能教育普及工作委员会,1
中国国际科技促进会中医药传承创新分会,1
中国国际科技促进会乡村振兴工作委员会,5
中国国际科技促进会物联网工作委员会,23
中国国际科技促进会物联网工作委员会 等,3
中国国际科技促进会物联网工作委员会、北京图象图形学学会、亚太地区大学生数学建模竞赛组委会,2
中国国际科技促进会综合素质与职业发展教育专业委员会,9
中国国际科技促进会综合素质与职业发展教育专业委员会 等,1
中国国际科技促进会青少年人工智能教育普及工作委员会,5
中国国际经济贸易仲裁委员会 等,2
中国国际经编设计大赛组委会,1
中国国际航空股份有限公司,1
中国国际象棋协会,1
中国国际象棋协会 等,1
中国国际贸易促进委员会商业行业委员会,1
中国国际贸易促进委员会商业行业委员会 等,4
中国国际贸易促进委员会商业行业委员会中国国际商会商业行业商会中国商业经济学会,1
中国国际贸易促进委员会建设行业分会 等,1
中国国际青少年动漫与新媒体创意大赛组委会,1
中国国际青年交流中心 等,1
中国国际面料设计大赛春夏赛季组委会,1
中国国际面料设计大赛秋冬赛季组委会,1
中国图书馆学会、中国新闻文化促进会、中国画报协会、杭州市委宣传部,1
中国图书馆学会阅读推广委员会,1
中国图像图形学学会 等,1
中国图学学会,4
中国图学学会制图技术专业委员会 等,1
中国图片社  中华人民共和国国史学会  中国外文局国际传播发展中心,1
中国图片社 等,1
中国图片集团 等,1
中国图象图形学学会,3
中国图象图形学学会（CSIG）,1
中国土木工程学会建筑市场与招标投标分会 等,1
中国土木工程学会教育工作委员会 等,3
中国地图出版集团（中国地图出版社）,1
中国地理信息产业协会  等,1
中国地理信息产业协会教育与科普工作委员会 等,1
中国地质图书馆(中国地质调查局地学文献中心)  等,1
中国地质大学（武汉）教务处,1
中国地质大学（武汉）教务处 等,1
中国地质学会 等,1
中国地质调查局、中国地质学会地质教育研究分会,1
中国地震台网中心 等,1
中国地震局地球物理研究所 等,1
中国城商联外研分会,7
中国城墙全球征春联组委会,1
中国城市商业网点建设管理联合会,2
中国城市商业网点建设管理联合会国际商务交流与外语研究分会,8
中国城市商业网点建设管理联合会国际商务交流与外语研究分会 等,1
中国城市商业网点建设管理联合会国际商务交流与外语研究分会(国家一级协会),1
中国城市商业网点建设管理联合会（国家一级协会） 等,1
中国城市科学研究会 等,1
中国城市规划学会乡村规划与建设分会,1
中国城市规划学会小城镇规划学术委员会 等,1
中国城市雕塑家协会 等,1
中国士木工程学会教育工作委员会 等,1
中国声谷,1
中国复合材料学会 等,1
中国复合材料工业协会 等,2
中国外文出版发行事业局,2
中国外文出版发行事业局 等,1
中国外文局,3
中国外文局 等,3
中国外文局CATTI项目管理中心 等,6
中国外文局CATTI项目管理中心、中国外文界,1
中国外文局亚太传播中心,6
中国外文局亚太传播中心 (人民中国杂志社、中国报道杂志社),2
中国外文局亚太传播中心 (人民中国杂志社、中国报道杂志社) 等,1
中国外文局亚太传播中心(人民中国杂志社、中国报道杂志社),1
中国外文局亚太传播中心（人民中国杂志社、中国报道杂志社）,29
中国外文局亚太传播中心（人民中国杂志社、中国报道杂志社） 等,2
中国外文局亚太传播中心（人民中国杂志社、中国报道杂志社）与日本科学协会、上海交通大学,1
中国外文局亚太传播中心（人民中国杂志社）,1
中国外文局人事部 等,10
中国外文局全国翻译专业资格（水平）考试（CATTI）项目管理中心,1
中国外文局对外传播研究中心 等,1
中国外文局教育培训中心,1
中国外文局海豚出版社,4
中国外文局翻译院,1
中国外文局翻译院 等,1
中国外语战略研究中心 等,1
中国大学生体育协会,32
中国大学生体育协会 中国国际象棋协会,1
中国大学生体育协会 等,1
中国大学生体育协会手球分会,1
中国大学生在线,2
中国大学生在线、文汇报、人民网、易班网、湖南教育电视台,1
中国大学生方程系列赛事主持人大赛,1
中国大学生服务外包创新创业大赛组委会,2
中国大学生电动方程式大赛组委会成员,1
中国大学生程序设计竞赛协会(筹),1
中国大学生计算机设计大赛组织委员会,6
中国大学生计算机设计大赛组织委员会宣传委员会,1
中国大数据网 等,2
中国天文学会,3
中国天文学会 等,1
中国天气网、《气象知识》杂志,1
中国天水·李杜诗歌奖,1
中国好创意暨全国数字艺术设计大赛组委会,3
中国好创意暨全国数字艺术设让大赛组织委员会,1
中国妇女网,1
中国婚姻家庭研究会 等,1
中国学位与研究生教育学会 等,6
中国学位与研究生教育学会、中国科协青少年科技中心,4
中国学术英语教学研究会、上海高校大学英语教学指导委员会和全国高校大学外语教育数字化联盟,1
中国宇航学会 等,1
中国宋庆龄基金会 等,1
中国宋庆龄基金会事业发展中心 等,1
中国宜兴环保科技工业园,1
中国室内装饰协会,2
中国室内装饰协会 等,1
中国室内装饰协会陈设艺术专业委员会,1
中国家具协会 等,1
中国家用电器研究院 等,1
中国家用纺织品行业协会 等,6
中国家电行业协会 等,2
中国密码学会,2
中国寓言文学研究会教育教学专业委员会,10
中国对外书刊出版发行中心（国际传播发展中心）、中央美术学院 、云南大学、云南省南亚东南亚区域国际传播中心、四川美术学院、泰国曼谷大学、老挝国立大学、柬埔寨金边皇家大学、缅甸福庆学校,1
中国对外翻译有限公司,14
中国对外贸易广州展览总公司 等,1
中国对外贸易经济合作企业协会,13
中国对外贸易经济合作企业协会 等,3
中国对外贸易经济合作企业协会商务英语专业工作委员会,7
中国对外贸易经济合作企业协会国际商务与语言服务工作委员会,4
中国对外贸易经济合作企业协会外经贸从业人员考试中心,3
中国对外贸易经济合作企业协会跨境电子商务工作委员会,3
中国对外贸易经济合作企业协会跨境电子商务工作委员会 等,1
中国工业与应用数学会,1
中国工业与应用数学会 等,1
中国工业与应用数学学会,16
中国工业与应用数学学会 等,5
中国工业与应用数学学会数学模型专业委员会 等,1
中国工业机械联合会,1
中国工业设计协会,1
中国工业设计协会                无锡市人民政府,1
中国工业设计协会 等,7
中国工商银行,4
中国工商银行、对外经济贸易大学,1
中国工商银行股份有限公司,1
中国工程机械工业协会,1
中国工程机械工业协会(CCMA),1
中国工艺美术协会 等,1
中国工艺美术学会 等,1
中国市场学会,1
中国市场学会、中国民营科技促进会,1
中国市场学会量化金融专业委员会,2
中国市场学会金融服务工作委员会,3
中国平安,2
中国广告主协会创新人才发展工作委员会,1
中国广告协会,4
中国广告协会、广告人杂志,1
中国广播影视培训网,1
中国广播影视培训网  等,2
中国广播影视培训网 等,4
中国广播电影电视社会组织联合会 等,2
中国康复医学会科学普及工作委员会 等,1
中国建筑业协会,1
中国建筑出版传媒有限公司 等,1
中国建筑出版传媒有限公司《建筑师》杂志社、广州市天作建筑规划设计有限公司、新加坡天作国际设计公司、哈尔滨工业大学(深圳)建筑学院,1
中国建筑卫生陶瓷协会,1
中国建筑学会,1
中国建筑学会 等,3
中国建筑学会室内设计分会,1
